"model","contest","scenario","round","agent","outcome","reward","effort","strength","prob"
"compensatory",1,"F,F;F,F",1,"A",0,10,0,4.06978497326473,NA
"compensatory",1,"F,F;F,F",1,"B",0,10,0,4.07300330342968,NA
"compensatory",1,"F,F;F,F",2,"A",0,20,0,2.98458740230745,0
"compensatory",1,"F,F;F,F",2,"B",0,20,0,3.00547107608067,0
"compensatory",1,"F,F;F,F",3,"A",0,20,90.5,3.03544786293195,65.8417918477723
"compensatory",1,"F,F;F,F",3,"B",0,20,89.5,3.02106155401868,65.8417918477723
"compensatory",2,"F,F;F,L",1,"A",0,10,0,4.06978497326473,NA
"compensatory",2,"F,F;F,L",1,"B",0,10,0,4.07300330342968,NA
"compensatory",2,"F,F;F,L",2,"A",0,20,0,2.97621164414018,0
"compensatory",2,"F,F;F,L",2,"B",1,20,100,6.08263000206305,0
"compensatory",2,"F,F;F,L",3,"A",0,20,0,2.99990730286621,0
"compensatory",2,"F,F;F,L",3,"B",0,20,70,6.07221770672683,0
"compensatory",3,"F,L;F,L",1,"A",0,10,0,4.09963513725439,NA
"compensatory",3,"F,L;F,L",1,"B",1,10,70,8.56623254276617,NA
"compensatory",3,"F,L;F,L",2,"A",0,20,0,2.99735257771522,0
"compensatory",3,"F,L;F,L",2,"B",1,20,70,8.56832897633759,100
"compensatory",3,"F,L;F,L",3,"A",1,20,NA,NA,0
"compensatory",3,"F,L;F,L",3,"B",1,20,NA,NA,0
"compensatory",4,"F,F;L,L",1,"A",0,10,0,4.06978497326473,NA
"compensatory",4,"F,F;L,L",1,"B",0,10,0,4.07300330342968,NA
"compensatory",4,"F,F;L,L",2,"A",1,20,100,6.0682248266236,0
"compensatory",4,"F,F;L,L",2,"B",1,20,100,6.07088698882176,0
"compensatory",4,"F,F;L,L",3,"A",1,20,NA,NA,0
"compensatory",4,"F,F;L,L",3,"B",1,20,NA,NA,0
"compensatory",5,"F,L;L,L",1,"A",0,10,0,4.09963513725439,NA
"compensatory",5,"F,L;L,L",1,"B",1,10,70,8.56623254276617,NA
"compensatory",5,"F,L;L,L",2,"A",1,20,100,6.07077982448963,0
"compensatory",5,"F,L;L,L",2,"B",1,20,70,8.55673085232421,100
"compensatory",5,"F,L;L,L",3,"A",1,20,NA,NA,0
"compensatory",5,"F,L;L,L",3,"B",1,20,NA,NA,0
"compensatory",6,"L,L;L,L",1,"A",1,10,70,8.56522515397449,NA
"compensatory",6,"L,L;L,L",1,"B",1,10,70,8.5769374510459,NA
"compensatory",6,"L,L;L,L",2,"A",1,20,70,8.56123874783462,100
"compensatory",6,"L,L;L,L",2,"B",1,20,70,8.56876312433855,100
"compensatory",6,"L,L;L,L",3,"A",1,20,NA,NA,0
"compensatory",6,"L,L;L,L",3,"B",1,20,NA,NA,0
"joint",1,"F,F;F,F",1,"A",0,10,0,4.07163596092315,NA
"joint",1,"F,F;F,F",1,"B",0,10,0,4.08215889127727,NA
"joint",1,"F,F;F,F",2,"A",0,20,0,3.00581622708035,0
"joint",1,"F,F;F,F",2,"B",0,20,0,3.0180092024523,0
"joint",1,"F,F;F,F",3,"A",0,20,0,1.92389623942808,67.3665356719146
"joint",1,"F,F;F,F",3,"B",0,20,0,1.94886507741445,67.3665356719146
"joint",2,"F,F;F,L",1,"A",0,10,0,4.07163596092315,NA
"joint",2,"F,F;F,L",1,"B",0,10,0,4.08215889127727,NA
"joint",2,"F,F;F,L",2,"A",0,20,0,2.99106200302124,0
"joint",2,"F,F;F,L",2,"B",1,20,100,6.07271637637965,0
"joint",2,"F,F;F,L",3,"A",0,20,NA,NA,95.3750431900318
"joint",2,"F,F;F,L",3,"B",0,20,NA,NA,95.3750431900318
"joint",3,"F,L;F,L",1,"A",0,10,0,4.05796806274484,NA
"joint",3,"F,L;F,L",1,"B",1,10,70,8.58696907536027,NA
"joint",3,"F,L;F,L",2,"A",0,20,0,3.00278762481487,0
"joint",3,"F,L;F,L",2,"B",1,20,70,8.56909428505813,100
"joint",3,"F,L;F,L",3,"A",1,20,36,2.99691739991027,96.9439284522932
"joint",3,"F,L;F,L",3,"B",1,20,59.5,8.56491206740548,96.9439284522932
"joint",4,"F,F;L,L",1,"A",0,10,0,4.07163596092315,NA
"joint",4,"F,F;L,L",1,"B",0,10,0,4.08215889127727,NA
"joint",4,"F,F;L,L",2,"A",1,20,100,6.07659416005546,0
"joint",4,"F,F;L,L",2,"B",1,20,100,6.05899700901398,0
"joint",4,"F,F;L,L",3,"A",1,20,50,6.07401537733223,100
"joint",4,"F,F;L,L",3,"B",1,20,50,6.0677879302833,100
"joint",5,"F,L;L,L",1,"A",0,10,0,4.05796806274484,NA
"joint",5,"F,L;L,L",1,"B",1,10,70,8.58696907536027,NA
"joint",5,"F,L;L,L",2,"A",1,20,100,6.076159222554,0
"joint",5,"F,L;L,L",2,"B",1,20,70,8.5642256673506,100
"joint",5,"F,L;L,L",3,"A",1,20,40,6.06524667156172,98.9002653293222
"joint",5,"F,L;L,L",3,"B",1,20,40,8.58147037856237,98.9002653293222
"joint",6,"L,L;L,L",1,"A",1,10,70,8.5791182720687,NA
"joint",6,"L,L;L,L",1,"B",1,10,70,8.56083548951697,NA
"joint",6,"L,L;L,L",2,"A",1,20,70,8.57007370336117,100
"joint",6,"L,L;L,L",2,"B",1,20,70,8.57365317938018,100
"joint",6,"L,L;L,L",3,"A",1,20,35,8.56569681904436,100
"joint",6,"L,L;L,L",3,"B",1,20,35,8.57552734662683,100
"maximum",1,"F,F;F,F",1,"A",0,10,100,2.99883866940655,NA
"maximum",1,"F,F;F,F",1,"B",0,10,100,3.01230918673182,NA
"maximum",1,"F,F;F,F",2,"A",0,20,100,2.99136294918124,0
"maximum",1,"F,F;F,F",2,"B",0,20,100,2.99812640407671,0
"maximum",1,"F,F;F,F",3,"A",0,20,100,1.94525747613946,71.7632298625786
"maximum",1,"F,F;F,F",3,"B",0,20,100,1.92583931779104,71.7632298625786
"maximum",2,"F,F;F,L",1,"A",0,10,100,2.99883866940655,NA
"maximum",2,"F,F;F,L",1,"B",0,10,100,3.01230918673182,NA
"maximum",2,"F,F;F,L",2,"A",0,20,NA,NA,0
"maximum",2,"F,F;F,L",2,"B",1,20,NA,NA,0
"maximum",2,"F,F;F,L",3,"A",0,20,NA,NA,NA
"maximum",2,"F,F;F,L",3,"B",0,20,NA,NA,NA
"maximum",3,"F,L;F,L",1,"A",0,10,100,2.99728698190112,NA
"maximum",3,"F,L;F,L",1,"B",1,10,100,7.51457826269301,NA
"maximum",3,"F,L;F,L",2,"A",0,20,100,2.99848987327169,0
"maximum",3,"F,L;F,L",2,"B",1,20,100,7.49778829803082,100
"maximum",3,"F,L;F,L",3,"A",1,20,100,3.00199971860943,100
"maximum",3,"F,L;F,L",3,"B",1,20,100,7.49451375334975,100
"maximum",4,"F,F;L,L",1,"A",0,10,100,2.99883866940655,NA
"maximum",4,"F,F;L,L",1,"B",0,10,100,3.01230918673182,NA
"maximum",4,"F,F;L,L",2,"A",1,20,NA,NA,0
"maximum",4,"F,F;L,L",2,"B",1,20,NA,NA,0
"maximum",4,"F,F;L,L",3,"A",1,20,NA,NA,NA
"maximum",4,"F,F;L,L",3,"B",1,20,NA,NA,NA
"maximum",5,"F,L;L,L",1,"A",0,10,100,2.99728698190112,NA
"maximum",5,"F,L;L,L",1,"B",1,10,100,7.51457826269301,NA
"maximum",5,"F,L;L,L",2,"A",1,20,NA,NA,0
"maximum",5,"F,L;L,L",2,"B",1,20,NA,NA,100
"maximum",5,"F,L;L,L",3,"A",1,20,NA,NA,NA
"maximum",5,"F,L;L,L",3,"B",1,20,NA,NA,NA
"maximum",6,"L,L;L,L",1,"A",1,10,100,7.50742248727492,NA
"maximum",6,"L,L;L,L",1,"B",1,10,100,7.52082798283332,NA
"maximum",6,"L,L;L,L",2,"A",1,20,100,7.51251323070814,100
"maximum",6,"L,L;L,L",2,"B",1,20,100,7.50495895896934,100
"maximum",6,"L,L;L,L",3,"A",1,20,100,7.50332426816409,100
"maximum",6,"L,L;L,L",3,"B",1,20,100,7.49170593576928,100
"solitary",1,"F,F;F,F",1,"A",0,10,0,4.05279461362303,NA
"solitary",1,"F,F;F,F",1,"B",0,10,0,4.08439526257126,NA
"solitary",1,"F,F;F,F",2,"A",0,20,0,3.00187739209689,0
"solitary",1,"F,F;F,F",2,"B",0,20,0,3.00559662111925,0
"solitary",1,"F,F;F,F",3,"A",0,20,0,3.00243569209045,0
"solitary",1,"F,F;F,F",3,"B",0,20,0,2.99885461267265,0
"solitary",2,"F,F;F,L",1,"A",0,10,0,4.05279461362303,NA
"solitary",2,"F,F;F,L",1,"B",0,10,0,4.08439526257126,NA
"solitary",2,"F,F;F,L",2,"A",0,20,0,2.9980227649386,0
"solitary",2,"F,F;F,L",2,"B",1,20,100,6.06046435793363,0
"solitary",2,"F,F;F,L",3,"A",0,20,NA,NA,100
"solitary",2,"F,F;F,L",3,"B",0,20,NA,NA,100
"solitary",3,"F,L;F,L",1,"A",0,10,0,4.08334720820115,NA
"solitary",3,"F,L;F,L",1,"B",1,10,70,8.57395067245768,NA
"solitary",3,"F,L;F,L",2,"A",0,20,0,3.01159574829855,0
"solitary",3,"F,L;F,L",2,"B",1,20,70,8.56587484276688,100
"solitary",3,"F,L;F,L",3,"A",1,20,0,3.00769794750094,100
"solitary",3,"F,L;F,L",3,"B",1,20,70,8.56887646018261,100
"solitary",4,"F,F;L,L",1,"A",0,10,0,4.05279461362303,NA
"solitary",4,"F,F;L,L",1,"B",0,10,0,4.08439526257126,NA
"solitary",4,"F,F;L,L",2,"A",1,20,100,6.07205876825124,0
"solitary",4,"F,F;L,L",2,"B",1,20,100,6.06385491600931,0
"solitary",4,"F,F;L,L",3,"A",1,20,100,6.07318912500323,100
"solitary",4,"F,F;L,L",3,"B",1,20,100,6.06866651959221,100
"solitary",5,"F,L;L,L",1,"A",0,10,0,4.08334720820115,NA
"solitary",5,"F,L;L,L",1,"B",1,10,70,8.57395067245768,NA
"solitary",5,"F,L;L,L",2,"A",1,20,100,6.07192418502465,0
"solitary",5,"F,L;L,L",2,"B",1,20,70,8.58838010363809,100
"solitary",5,"F,L;L,L",3,"A",1,20,100,6.06189547422672,100
"solitary",5,"F,L;L,L",3,"B",1,20,70,8.57424905369744,100
"solitary",6,"L,L;L,L",1,"A",1,10,70,8.58045044872229,NA
"solitary",6,"L,L;L,L",1,"B",1,10,70,8.5666958792219,NA
"solitary",6,"L,L;L,L",2,"A",1,20,70,8.56662273371652,100
"solitary",6,"L,L;L,L",2,"B",1,20,70,8.58176313340952,100
"solitary",6,"L,L;L,L",3,"A",1,20,70,8.57417018363517,100
"solitary",6,"L,L;L,L",3,"B",1,20,70,8.57294490311503,100
